Season,Episode,Title,Airdate,Synopsis,Director,Writers
13,12,Sister City (Part 1),"January 5, 2016.","When the passengers and fight crew of a private plane belonging to a military tech company including a Navy Commander are discovered dead after their plane lands, the entire crew having been fatally poisoned, the NCIS team investigate what happened and during the investigation, they also form a partnership with their New Orleans counterparts as the two teams attempt to find Abby's missing brother and determine a motive for the poisoning.",Leslie Libman,Christopher J. Waild
13,13,Déjà Vu,"January 19, 2016.","When the body of a Navy Seaman is found at a rubbish dump, the NCIS team investigate and discover that the victim was due to testify before a grand jury concerning the possible resurgence of an international human-trafficking ring, one that Bishop investigated during her time at the NSA while the NCIS team try to adapt as a storm causes a massive power outage all through Washington D.C.",Rocky Carroll,Matthew R. Jarrett & Scott J. Jarrett
13,14,Decompressed,"February 9, 2016.",The NCIS team investigate the death of a deep-sea diver and find themselves conducting a very unorthodox and unusual investigation in which they examine the case on the outside while the remains and the victim's coworkers who are also suspects must stay in a high-tech decompression chamber for four days.,Thomas J. Wright,Brendan Fehily
13,15,React,"February 16, 2016.","When SECNAV Sarah Porter's teenage daughter is kidnapped, the NCIS team partner with FBI Agent Tobias Fornell in order to solve the case, determine a motive for the kidnapping and bring Porter's daughter home while McGee's childhood friend, NCIS Special Agent Valerie Page is in town to assist the team with advance tactics training.",Bethany Rooney,Jennifer Corbett
13,16,Loose Cannons,"February 23, 2016.","As the NCIS team investigate a raid on a Naval Base, Dr. Cyril Taft finds himself experiencing the rush and thrills of being an assistant in the case after he's assigned surgical duty to a suspect that the team have in custody, with Taft later discovering key evidence crucial to the case. DiNozzo pays a visit to his ex-girlfriend Jeanne Benoit as he chases a potential lead involving a group of doctors in Sudan.",Alrick Riley,Scott Williams
13,17,After Hours,"March 1, 2016.","The NCIS team find their plans being interrupted when they discover errors in a seemingly cut-and-dried case that has apparently been closed. As the team work to find out what's gone wrong in the case, McGee and Delilah argue over the importance of not discussing work during dinner, while DiNozzo bores his date with shop talk.",Terrence O'Hara,Cindi Hemingway
13,18,Scope,"March 15, 2016.","When an American couple are shot dead while exploring an area in Iraq, the NCIS team re-examine an ambush on a group of Special Ops that occurred in the same area six months prior to the attack. During the main investigation, Gibbs discovers that he needs the account of the solo survivor of the attack who is being treated for PTSD at the Walter Reed Memorial Centre. Gibbs attempts to connect with the Marine, with the team soon discovering a potential suspect responsible for the killings, forcing Gibbs to go back to his roots as a sniper when new evidence suggests that the killer is about to strike again.",Tony Wharmby,Gary Glasberg & Gina Lucita Monreal
13,19,Reasonable Doubts,"March 22, 2016.","When a Navy Public Affairs officer is murdered, the NCIS team must find out who is lying: the victim's wife or mistress, with things becoming increasingly complicated when the two women accuse each other of committing the crime. Anthony DiNozzo Senior returns to D.C. to help a homeless woman who believes that he is her father.",Thomas J. Wright,George Schenck & Frank Cardea
13,20,Charade,"April 5, 2016.","While investigating the death of a man, the NCIS team soon face a battle on their hands when DiNozzo's identity is stolen by multiple criminals who, while posing as the fakes, begin blackmailing various Senators.",Edward Ornelas,Brendan Fehily
13,21,Return to Sender,"April 19, 2016.","Two British prisoners, one of whom is a former spy, escape after arriving in the United States via a shipping container, which also resulted in them taking a female prison guard hostage and who was ultimately killed. The NCIS team are reunited with FBI agent Tobias Fornell as they both investigate the case. McGee goes apartment-hunting with DiNozzo, with McGee determined to find out how DiNozzo purchased his own lavish place, and tragedy later strikes the NCIS team yet again when a good friend is murdered.",Leslie Libman,Christopher J. Waild
13,22,Homefront,"May 3, 2016.","The NCIS team investigate when a fourteen-year-old teenager manages to foil a home invasion, with Gibbs suspecting that the teenager is hiding something about what happened while Director Vance and Senior FBI Agent Tobias Fornell travel to London as part of the ongoing escaped British spy case.",Dennis Smith,Gina Lucita Monreal & Jennifer Corbett
13,23,Dead Letter,"May 10, 2016.","In the aftermath of the attack that has left one of the NCIS team's allies badly wounded, the NCIS team redouble their efforts to track down disgraced British spy Jacob Scott, who's seeking revenge against NCIS. Assistance comes from both the FBI and MI6 in the form of two new agents, but everything is not what it appears to be.","James Whitmore, Jr",Steven D. Binder
13,24,Family First,"May 17, 2016.","In the aftermath of the attack on the David farmhouse that has resulted in the assumed death of former NCIS Special Agent Ziva David, greatly devastating the NCIS team, they continue working alongside their counterparts in the FBI and MI6 as they conduct an international manhunt for disgraced agent Trent Kort while Tony finds his life being turned upside down by an unexpected revelation.",Tony Wharmby,Gary Glasberg & Scott Williams
14,1,Rogue,"September 20, 2016.","When a car explosion leaves a Navy Commander dead, his Marine wife unconscious and their teenage daughter unharmed, the NCIS team investigate and soon discover a connection to an NCIS Special Agent who went missing six months ago while on a deep undercover assignment in Argentina and as the case goes on, NCIS Special Agent Alexandra Quinn, an instructor at FLETC arrives at NCIS HQ and begins shadowing the team in order to find out why Gibbs rejected the eight agents she recommended to him.",Tony Wharmby,Gary Glasberg & Jennifer Corbett
14,2,Being Bad,"September 27, 2016.","While investigating a death that took place at a high school reunion being held at Quantico, the NCIS team uncover a bomb plot that soon leads them to a long-running theft ring while Torres and Quinn adjust to life as members of Gibbs's team which also includes new sitting arrangements and the bullpen's structure also changing in the process.","James Whitmore, Jr",Steven D. Binder
