name,actor,role,cast,episode_key
Ray Mitchell,Rocky McMurray,Howard County P.D. Officer.,Guest_Cast,11x7
Walter Beck,Tom Fitzpatrick,A fighter pilot.,Guest_Cast,11x7
Hippie,Natasha Kojic,Uncredited role.,Guest_Cast,11x7
Military Doctor,Oscar Magana Jr.,Uncredited role.,Guest_Cast,11x7
Michael Dawson,Judson Willie Pickard III,Marine Sergeant and the main murder victim. Uncredited role.,Guest_Cast,11x7
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,11x7
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,11x7
Timothy McGee,Sean Murray,Special Agent for the the NCIS Major Case Response Team.,Series_Regulars,11x7
Abigail Sciuto,Pauley Perrette,Chief Forensic Specialist for the NCIS Major Case Response Team.,Series_Regulars,11x7
James Palmer,Brian Dietzen,"Assistant Medical Examiner for the NCIS Major Case Response Team. Despite being credited, Dietzen does not appear in this episode.",Series_Regulars,11x7
Leon Vance,Rocky Carroll,"Director of NCIS. Despite being credited, Carroll does not appear in this episode.",Series_Regulars,11x7
Donald Mallard,David McCallum,Chief Medical Examiner for the NCIS Major Case Response Team.,Series_Regulars,11x7
Elaine,Connie Jackson,The waitress at the diner where Gibbs gets his morning coffee.,Recurring_Cast,11x8
Daniel Cliff,Abe Fark,Marine Private.,Guest_Cast,11x8
Paul Dockry,Dameon Clarke,Homicide Detective with the Falls Church Police Department.,Guest_Cast,11x8
Cal Groves,Eltony Williams,Marine Gunnery Sergeant.,Guest_Cast,11x8
Miller,Jeff Harlan,Reverend.,Guest_Cast,11x8
Olivia Chandler,Nicole Steinwedell,A woman who appears in the episode.,Guest_Cast,11x8
Wendell Kaiser,Rodney Eastman,A man who appears in the episode.,Guest_Cast,11x8
Carrie Clark,Salli Richardson,A lawyer and a former Special Agent with the FBI.,Guest_Cast,11x8
Justin Dunne,Steven Helmkamp,Marine Staff Sergeant.,Guest_Cast,11x8
Desk Clerk,Brian Huskey,A man who appears in the episode.,Guest_Cast,11x8
Jodie Ray,Michelle Alvarado Martins,Petty Officer Third Class in the United States Navy and the main murder victim. Uncredited role.,Guest_Cast,11x8
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,11x8
Anthony DiNozzo,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,11x8
Timothy McGee,Sean Murray,Special Agent for the the NCIS Major Case Response Team.,Series_Regulars,11x8
Abigail Sciuto,Pauley Perrette,Chief Forensic Specialist for the NCIS Major Case Response Team.,Series_Regulars,11x8
James Palmer,Brian Dietzen,Assistant Medical Examiner for the NCIS Major Case Response Team.,Series_Regulars,11x8
Leon Vance,Rocky Carroll,"Director of NCIS. Despite being credited, Carroll does not appear in this episode.",Series_Regulars,11x8
Donald Mallard,David McCallum,Chief Medical Examiner for the NCIS Major Case Response Team.,Series_Regulars,11x8
Sarah Porter,Leslie Hope,The new SecNav and Clayton Jarvis's replacement.,Recurring_Cast,11x9
Eleanor Bishop,Emily Wickersham,NSA Analyst who later becomes the official NSA liaison to NCIS.,Guest_Cast,11x9
Ward Davis,Alan Ruck,A man who appears in the episode.,Guest_Cast,11x9
Marc Attencio,Geoffrey Blake,A man who appears in the episode.,Guest_Cast,11x9
Rudolph Stalin,Gideon Emery,A man who appears in the episode.,Guest_Cast,11x9
Norma Hench,Nichelle Hines,NCIS Special Agent.,Guest_Cast,11x9
Chad Flynderling,Tim Peper,NSA Agent and main murder victim,Guest_Cast,11x9
Thaddeus Nox,David Anthony Buglione,"Bugger and posing as ""Edward Gracey"".",Guest_Cast,11x9
Library Patron,Grace Noble,A woman who appears in the episode.,Guest_Cast,11x9
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,11x9
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,11x9
Timothy McGee,Sean Murray,Special Agent for the the NCIS Major Case Response Team.,Series_Regulars,11x9
Abigail Sciuto,Pauley Perrette,Chief Forensic Specialist for the NCIS Major Case Response Team.,Series_Regulars,11x9
James Palmer,Brian Dietzen,"Assistant Medical Examiner for the NCIS Major Case Response Team. Despite being credited, Dietzen does not appear in this episode.",Series_Regulars,11x9
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,11x9
Donald Mallard,David McCallum,Chief Medical Examiner for the NCIS Major Case Response Team.,Series_Regulars,11x9
Eleanor Bishop,Emily Wickersham,NSA liason with NCIS.,Recurring_Cast,11x10
Tobias Fornell,Joe Spano,Senior Supervisory Agent with the FBI.,Recurring_Cast,11x10
Diane Sterling,Melinda McGraw,Gibbs and Fornell's ex wife.,Recurring_Cast,11x10
Emily Fornell,Juliette Angelo,Tobias Fornell and Diane Sterling's teenage daughter.,Recurring_Cast,11x10
Edward Mackenzie,Bryce Johnson,"Secret Service Agent that goes under the alias ""Eddie Macklin"".",Guest_Cast,11x10
Dale Wagner,Jeffrey Hutchinson,A man who appears in the episode.,Guest_Cast,11x10
Clown/Mystery Woman,Karen Dyer,A woman who appears in the episode.,Guest_Cast,11x10
Roda Robinson,Lucy Butler,An agent with the NCIS Human Resources Department.,Guest_Cast,11x10
Elijah Banner,Sterling K. Brown,A man who appears in the episode.,Guest_Cast,11x10
Ron Flegman,Will Buchanan,Corporal in the United States Marine Corps and also the main murder victim.,Guest_Cast,11x10
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,11x10
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,11x10
Timothy McGee,Sean Murray,Special Agent of the NCIS Major Case Response Team.,Series_Regulars,11x10
Abigail Sciuto,Pauley Perrette,Chief Forensic Specialist for the NCIS Major Case Response Team.,Series_Regulars,11x10
James Palmer,Brian Dietzen,Assistant Medical Examiner for the NCIS Major Case Response Team.,Series_Regulars,11x10
Leon Vance,Rocky Carroll,"Director of NCIS. Despite being credited, Carroll does not appear in this episode.",Series_Regulars,11x10
Donald Mallard,David McCallum,Chief Medical Examiner for the NCIS Major Case Response Team.,Series_Regulars,11x10
Eleanor Bishop,Emily Wickersham,The NSA/NCIS liaison officer.,Recurring_Cast,11x11
Carol Wilson,Meredith Eaton,Abby's old college friend.,Recurring_Cast,11x11
Kayla Vance,Kiara Muhammad,Vance's daughter and Jared Vance's sister.,Recurring_Cast,11x11
Jared Vance,Akinsola Aribo,Vance's son and Kayla Vance's brother.,Recurring_Cast,11x11
Breena Palmer,Michelle Pierce,Jimmy Palmer's wife.,Recurring_Cast,11x11
Lamar Addison,Ben Vereen,Leon Vance's estranged father-in-law and Jackie Vance's father.,Guest_Cast,11x11
Max Comey,Gabriel Tigerman,A man who appears in the episode.,Guest_Cast,11x11
Emma Daly,Alyvia Alyn Lind,A young girl who is the daughter of Kevin and Audrey Daly and also the sister of Tommy Daly.,Guest_Cast,11x11
Audrey Daly,Holley Fain,The mother of Emma and Tommy Daly and wife of Kevin Daly.,Guest_Cast,11x11
Tommy Daly,Luke Colombero,The son of Kevin and Audrey Daly and brother of Emma Daly.,Guest_Cast,11x11
Kevin Daly,Matt Biedel,"Lieutenant in the United States Navy, husband of Audrey Daly and father of Emma and Tommy Daly.",Guest_Cast,11x11
Military Parent,Meli Alexander,Uncredited role.,Guest_Cast,11x11
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,11x11
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,11x11
Timothy McGee,Sean Murray,Special Agent of the NCIS Major Case Response Team.,Series_Regulars,11x11
Abigail Sciuto,Pauley Perrette,Chief Forensic Specialist for the NCIS Major Case Response Team.,Series_Regulars,11x11
James Palmer,Brian Dietzen,Assistant Medical Examiner for the NCIS Major Case Response Team.,Series_Regulars,11x11
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,11x11
Donald Mallard,David McCallum,Chief Medical Examiner for the NCIS Major Case Response Team.,Series_Regulars,11x11
Delilah Fielding,Margo Harshman,Special Agent Timothy McGee's girlfriend.,Recurring_Cast,11x12
Hollis Mann,Susanna Thompson,Gibbs's ex-girlfriend and a former Lieutenant Colonel with the Army CID who now works as an investigator or agent for the Department of Defense.,Recurring_Cast,11x12
Benham Parsa,Karan Oberoi,A terrorist and also the main leader of the Brotherhood of Doubt.,Guest_Cast,11x12
Stone,William deVry,Lieutenant Commander in the United States Navy.,Guest_Cast,11x12
Erin Pace,Julie Ann Emery,A woman who appears in the episode.,Guest_Cast,11x12
Hal Beem,Brandon Gibson,A man who appears in the episode.,Guest_Cast,11x12
Patrice Gates,Vanessa E. Garcia,Petty Officer First Class in the United States Navy.,Guest_Cast,11x12
Bashir Malik,Ravi Kapoor,A man who appears in the episode.,Guest_Cast,11x12
Daniel Coyne,Justin Cuomo,Petty Officer First Class in the United States Navy and the murder victim.,Guest_Cast,11x12
Hayat Parsa,Josephine Leah,Uncredited role.,Guest_Cast,11x12
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,11x12
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,11x12
Timothy McGee,Sean Murray,Special Agent of the NCIS Major Case Response Team.,Series_Regulars,11x12
Abigail Sciuto,Pauley Perrette,Chief Forensic Specialist for the NCIS Major Case Response Team.,Series_Regulars,11x12
James Palmer,Brian Dietzen,"Assistant Medical Examiner for the NCIS Major Case Response Team. Despite being credited, Dietzen does not appear in this episode.",Series_Regulars,11x12
Eleanor Bishop,Emily Wickersham,The NSA/NCIS liaison officer.,Series_Regulars,11x12
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,11x12
Donald Mallard,David McCallum,Chief Medical Examiner for the NCIS Major Case Response Team.,Series_Regulars,11x12
Rachel Cranston,Wendy Makkena,"A Doctor as well as an NCIS Psychologist and the elder sister of deceased NCIS Special Agent, Kate Todd.",Recurring_Cast,11x13
Bashir Malik,Ravi Kapoor,A member of the Brotherhood of Doubt.,Recurring_Cast,11x13
Delilah Fielding,Margo Harshman,McGee's girlfriend.,Recurring_Cast,11x13
Sofia Martinez,Alanna Ubach,NSA Senior Intelligence Analyst who strongly dislikes DiNozzo.,Guest_Cast,11x13
Charles Garrett,Carlton Wilborn,Master Sergeant in the United States Marine Corps.,Guest_Cast,11x13
Victor Hodge,Jeff Galfer,CIA Case Officer.,Guest_Cast,11x13
Nurse 1,Monica Lawson,A woman who appears in the episode.,Guest_Cast,11x13
Miller,Marlon Sanders,The Orderly who briefly appears in the intro scene of the episode.,Guest_Cast,11x13
Duke Turner,Kovar McClure,An NIS agent who interrogated Bashir Malik back in 1990.,Guest_Cast,11x13
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,11x13
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,11x13
Timothy McGee,Sean Murray,Special Agent of the NCIS Major Case Response Team.,Series_Regulars,11x13
Abigail Sciuto,Pauley Perrette,Chief Forensic Specialist for the NCIS Major Case Response Team.,Series_Regulars,11x13
James Palmer,Brian Dietzen,"Assistant Medical Examiner for the NCIS Major Case Response Team. Despite being credited, Dietzen does not appear in this episode.",Series_Regulars,11x13
Eleanor Bishop,Emily Wickersham,The NSA/NCIS liaison officer.,Series_Regulars,11x13
Leon Vance,Rocky Carroll,"Director of NCIS. Despite being credited, Carroll does not appear in this episode.",Series_Regulars,11x13
Donald Mallard,David McCallum,Chief Medical Examiner for the NCIS Major Case Response Team.,Series_Regulars,11x13
Benham Parsa,Karan Oberoi,"A terrorist who is also the leader of the group, the Brotherhood of Doubt.",Recurring_Cast,11x14
Hayat Parsa,Josephine Leah,Benham Parsa's sister. Uncredited role.,Recurring_Cast,11x14
William Blake,Aaron Hill,Navy SEAL Lieutenant.,Guest_Cast,11x14
Pakistani Man 2,Hans Marrero,A man who appears in the episode.,Guest_Cast,11x14
Pakistani Man 3,Tony Graham,A man who appears in the episode.,Guest_Cast,11x14
Pakistani Man 4,Anthony Martins,A man who appears in the episode.,Guest_Cast,11x14
Watchstander,Adrian Gonzalez,A man who appears in the episode.,Guest_Cast,11x14
Lloyd Manditsky,John Allen Nelson,JSOC Vice Admiral.,Guest_Cast,11x14
Jeremy Marlens,Nestor Serrano,NSA Supervisor who is also the boss of Eleanor Bishop.,Guest_Cast,11x14
David Harketti,Rob Evors,Navy Hull Technician Chief.,Guest_Cast,11x14
Khalil Farooq,Shishir Kurup,Benham Parsa's cousin.,Guest_Cast,11x14
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,11x14
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,11x14
Timothy McGee,Sean Murray,Special Agent of the NCIS Major Case Response Team.,Series_Regulars,11x14
Abigail Sciuto,Pauley Perrette,Chief Forensic Specialist for the NCIS Major Case Response Team.,Series_Regulars,11x14
James Palmer,Brian Dietzen,"Assistant Medical Examiner for the NCIS Major Case Response Team. Despite being credited, Dietzen does not appear in this episode.",Series_Regulars,11x14
Eleanor Bishop,Emily Wickersham,"The NSA/NCIS liaison officer who after the case involving Parsa is later promoted to Probationary Agent, resulting in Bishop becoming the newest member of the NCIS team and also the official and permanent replacement for Ziva David.",Series_Regulars,11x14
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,11x14
Donald Mallard,David McCallum,Chief Medical Examiner for the NCIS Major Case Response Team.,Series_Regulars,11x14
Delilah Fielding,Margo Harshman,DOD employee and Special Agent Timothy McGee's current girlfriend. Now permanently confined to a wheelchair after being left paralyzed in the aftermath of the Drone Attack on the Conrad Gala.,Recurring_Cast,11x15
Benson Honeycutt,Adrian LaTourelle,A man who appears in the episode.,Guest_Cast,11x15
Fay Gussman,Challen Cates,A woman who was later revealed to be the one responsible for selling the faulty bulletproof vests. Later dies after getting into a shootout with the NCIS team.,Guest_Cast,11x15
Chris Valley,Jarrod Bailey,A teenager.,Guest_Cast,11x15
Chris Hoffman,Ki Hong Lee,A teenager.,Guest_Cast,11x15
Karen Upline,Sarah Aldrich,A woman who appears in the episode.,Guest_Cast,11x15
Freddie Linn,Kurt Yaeger,Mallory Linn's son and a former Marine left permanently paralyzed due to faulty body armor.,Guest_Cast,11x15
Mallory Linn,Shannon Cochran,Freddie Linn's mother.,Guest_Cast,11x15
Female Instructor,Sarah Brown,Uncredited role.,Guest_Cast,11x15
FBI Agent,Celeste Cook,Uncredited role.,Guest_Cast,11x15
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,11x15
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,11x15
Timothy McGee,Sean Murray,Special Agent of the NCIS Major Case Response Team.,Series_Regulars,11x15
Abigail Sciuto,Pauley Perrette,Chief Forensic Specialist for the NCIS Major Case Response Team.,Series_Regulars,11x15
James Palmer,Brian Dietzen,Assistant Medical Examiner for the NCIS Major Case Response Team.,Series_Regulars,11x15
Eleanor Bishop,Emily Wickersham,NCIS Probationary Agent.,Series_Regulars,11x15
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,11x15
Donald Mallard,David McCallum,Chief Medical Examiner for the NCIS Major Case Response Team.,Series_Regulars,11x15
Anthony DiNozzo Senior,Robert Wagner,Special Agent Anthony DiNozzo's father.,Recurring_Cast,11x16
Eugene Coyle,Hugo Armstrong,Inspector General.,Recurring_Cast,11x16
Taylor,Aja Evans,A woman who appears in the episode.,Guest_Cast,11x16
Nicholas Bodeen,Anthony Palermo,Disgraced Private Investigator posing as a Navy Commander.,Guest_Cast,11x16
Lionel Saxon,Everette Wallin,Commander in the United States Navy.,Guest_Cast,11x16
Denise O'Hara,Bess Armstrong,United States Senator.,Guest_Cast,11x16
Jennifer Morrison,Desiree Hall,Senator O'Hara's secretary and Bodeen's girlfriend.,Guest_Cast,11x16
Will Pritchard,John Livingston,Denise O'Hara's chief of staff.,Guest_Cast,11x16
Liz Allen,Suzanne Quast,A woman who appears in the episode.,Guest_Cast,11x16
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,11x16
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,11x16
